model,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,params_M,train_time_min
ResNet-50,0.5658953722334004,0.48616728403829723,0.7111173505714843,0.5031969137433929,0.6387806929380228,23.5,34.1
DenseNet-121,0.4678068410462777,0.4949746020121233,0.6957302944021028,0.4927559724811827,0.5416726350858602,7.0,34.0
EfficientNet-B0,0.545271629778672,0.4785422046599876,0.7256575826617416,0.48485417548659576,0.6119660636689871,4.0,35.9
ViT-B/16,0.4461770623742455,0.5095398974204166,0.7127496512464304,0.4990459376435213,0.5097647174376139,85.8,17.9
Hybrid CNN-Transformer,0.545271629778672,0.49778488303898116,0.664542995022263,0.512670900046094,0.6233226478118359,25.6,25.9
