model,MEL,NV,BCC,AKIEC,BKL,DF,VASC
ResNet-50,0.48218029350104824,0.6748889985199803,0.6972477064220184,0.5443786982248521,0.6558044806517311,0.07725321888412018,0.390625
DenseNet-121,0.49706457925636005,0.5252747252747253,0.6886792452830188,0.5402298850574713,0.668041237113402,0.053811659192825115,0.47619047619047616
EfficientNet-B0,0.4755244755244755,0.6387064173825164,0.7188940092165899,0.5637583892617449,0.6382978723404256,0.1038961038961039,0.2549019607843137
ViT-B/16,0.4867549668874172,0.472,0.684931506849315,0.6153846153846154,0.6881720430107527,0.05588235294117647,0.49019607843137253
Hybrid CNN-Transformer,0.5071090047393365,0.6630272952853598,0.6329113924050633,0.47368421052631576,0.5886939571150097,0.05660377358490566,0.6666666666666666
