epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.602275061403874,0.5221906116642959,1.313781092255381,0.6018054162487463,0.0009972609476841367
2,1.3654694214993148,0.5576102418207681,1.2435536832962495,0.5757271815446339,0.0009890738003669028
3,1.2865221258586705,0.5591749644381223,1.2299808095187816,0.5997993981945837,0.0009755282581475768
4,1.233060484556521,0.5817923186344239,1.1968225970072157,0.5486459378134403,0.0009567727288213003
5,1.2105618070911717,0.5675675675675675,1.197645586376324,0.5987963891675026,0.0009330127018922195
6,1.0951393052829617,0.6150782361308678,1.0763997228418214,0.641925777331996,0.000996057350657239
7,0.8697589037937257,0.6654338549075391,0.9177758835084221,0.724172517552658,0.0009842915805643156
8,0.775153125273554,0.6907539118065433,0.9398453357884494,0.6559679037111334,0.0009648882429441258
9,0.677602178375548,0.7082503556187767,1.0101816144359925,0.7041123370110332,0.0009381533400219318
10,0.600952105722251,0.7183499288762447,0.857647707399986,0.7271815446339017,0.0009045084971874737
11,0.5517780101316243,0.7344238975817923,0.9791571731168175,0.765295887662989,0.0008644843137107057
12,0.48082992267472985,0.7654338549075391,0.9408445917331467,0.7422266800401204,0.0008187119948743448
13,0.47329955928525747,0.7688477951635846,0.9342626904061768,0.7382146439317954,0.0007679133974894982
14,0.435362781302349,0.7840682788051209,0.9660616042494117,0.7402206619859579,0.0007128896457825362
15,0.4025530024917841,0.7849217638691323,0.9771301255168144,0.7592778335005015,0.0006545084971874736
16,0.3407801750374383,0.8062588904694168,1.1022749903650138,0.7582748244734202,0.0005936906572928624
17,0.3394365329555054,0.8157894736842105,1.0674603055497498,0.7582748244734202,0.0005313952597646568
18,0.33723806017323543,0.813655761024182,1.148570252442312,0.7622868605817452,0.00046860474023534336
19,0.3071892093289458,0.8354196301564722,1.1023005029446293,0.7432296890672017,0.0004063093427071377
20,0.27951508157199,0.8337126600284495,1.0608942935966261,0.7582748244734202,0.00034549150281252644
