epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.1459957562334,0.3688477951635846,2.005178617857165,0.5245737211634904,0.0006989210668065948
2,1.9922199034928258,0.4422475106685633,1.9367950360777386,0.5386158475426279,0.0006956909192082981
3,1.9279362657500874,0.4590327169274538,1.8811646693926996,0.551654964894684,0.0006903294721391867
4,1.875036342384805,0.46998577524893315,1.8610494228877659,0.4794383149448345,0.0006828697807033037
5,1.8669385606160713,0.46386913229018495,1.8394939295626214,0.49849548645937813,0.0006733578363789502
6,1.7598765171439006,0.5477951635846373,1.669015239688793,0.6920762286860582,0.0006985910028983337
7,1.544931844016736,0.6177809388335704,1.5819139762771286,0.7392176529588766,0.0006943753560095204
8,1.459475185793121,0.6578947368421053,1.5749977049880186,0.7321965897693079,0.0006873870012435487
9,1.378647225035373,0.7054054054054054,1.5572361225110956,0.7492477432296891,0.000677682204723908
10,1.3473828028479478,0.7244665718349929,1.5086629125275608,0.7191574724172518,0.0006653391037658468
11,1.2757505161833458,0.7611664295874823,1.5576726472007116,0.769307923771314,0.0006504570777606532
12,1.2451391990629064,0.7698435277382646,1.4943544766608787,0.769307923771314,0.0006331559480312317
13,1.2050415544387796,0.7914651493598862,1.4822340635741607,0.7763289869608826,0.000613575013101264
14,1.1755221219693615,0.8035561877667141,1.571577435032415,0.753259779338014,0.0005918719271454028
15,1.1231422125530108,0.8382645803698435,1.5392439938117652,0.7452357071213641,0.0005682214306505568
16,1.0989453539231084,0.8386913229018492,1.5448443563197298,0.7713139418254764,0.0005428139435082359
17,1.0883132091796246,0.8423897581792319,1.5839449567206525,0.769307923771314,0.0005158540318655495
18,1.0628791064320724,0.8547652916073969,1.4860649491504299,0.8124373119358074,0.0004875587610788733
19,1.0510867045919383,0.8689900426742532,1.491085116877599,0.7913741223671013,0.0004581559480312316
20,1.0089511973081238,0.8806543385490754,1.5142860394064617,0.8234704112337011,0.00042788232688471004
21,1.0187408251918397,0.8927453769559033,1.5734736383140626,0.8194583751253761,0.00039698164303617945
22,1.0077471696465656,0.8955903271692746,1.545844682539956,0.802407221664995,0.0003657026906226803
23,0.9813771569203177,0.9089615931721194,1.5117073338273297,0.8304914744232698,0.0003342973093773198
24,0.9508430238807862,0.9162162162162162,1.5514060156036882,0.8294884653961886,0.00030301835696382065
25,0.9525349296851993,0.92375533428165,1.568339540343825,0.8234704112337011,0.00027211767311529
