epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.6118718481674303,0.0759601706970128,2.5423336717764378,0.2587763289869609,0.0002997040092642407
2,2.5070540256554508,0.17923186344238975,2.4840332658264557,0.26980942828485455,0.0002988172051971717
3,2.44587919166044,0.22432432432432434,2.42611326209999,0.30792377131394183,0.0002973430876093033
4,2.3915233284446966,0.24594594594594596,2.4078467325078567,0.2958876629889669,0.00029528747416929463
5,2.39554518500229,0.24978662873399715,2.3908600759362746,0.316950852557673,0.00029265847744427303
6,2.3776104863303824,0.2945945945945946,2.3048901563900763,0.4082246740220662,0.0002996346075389736
7,2.2457975807434125,0.3046941678520626,2.242736314459813,0.41323971915747243,0.0002985402103112355
8,2.172204257482146,0.3216216216216216,2.1946640495311773,0.36810431293881646,0.0002967221401100708
9,2.134566094831247,0.35049786628734,2.1734506091478476,0.5195586760280843,0.00029418925439074776
10,2.1201395359012176,0.3682788051209104,2.1276247647246245,0.4182547642928786,0.0002909538931178862
11,2.079403191236819,0.40640113798008537,2.1132832357852367,0.5075225677031093,0.0002870318186463901
12,2.0322389144137776,0.4182076813655761,2.100458928790231,0.5336008024072216,0.000282442138928839
13,1.9896008406051702,0.44267425320056897,2.080133873576984,0.5456369107321966,0.0002772072144234638
14,2.007672661703986,0.43968705547652914,2.075082426085515,0.49949849548645936,0.00027135254915624206
15,1.9529668238898938,0.46870554765291605,2.0732324044467694,0.5707121364092277,0.0002649066664678466
16,1.9235622849606857,0.4635846372688478,2.059955817407208,0.49949849548645936,0.0002579009700507976
17,1.9210637709833311,0.4669985775248933,2.0540271785816433,0.555667001003009,0.00025036959095382864
18,1.9061325579924062,0.48662873399715506,2.045493038391756,0.551654964894684,0.00024234922129884865
19,1.890873968007724,0.49516358463726884,2.048993981350867,0.5115346038114343,0.00023387893552061193
20,1.8421689535442152,0.49900426742532006,2.0557926896821295,0.49648946840521563,0.0002249999999999999
21,1.863059271246746,0.4926031294452347,2.0427848752307796,0.5285857572718154,0.00021575567201836154
22,1.8614349365234375,0.5098150782361308,2.044199133828028,0.518555667001003,0.00020619098901238672
23,1.8395769338689183,0.5223328591749644,2.03840571253326,0.506519558676028,0.00019635254915624205
24,1.7992882083862978,0.5347083926031294,2.0523758439147244,0.5576730190571715,0.0001862882843399501
25,1.8059317917776312,0.540398293029872,2.0454662289758145,0.5787362086258776,0.0001760472266500395
26,1.807254362377639,0.5275960170697013,2.0364273448167376,0.5125376128385155,0.00016567926949014795
27,1.7869582964041155,0.5372688477951636,2.048176129579305,0.5295887662988967,0.0001552349245053751
28,1.7771152015430998,0.5503556187766714,2.0452190758352176,0.5366098294884654,0.00014476507549462483
29,1.7602496794243456,0.5384068278805121,2.042723225973315,0.59679037111334,0.00013432073050985194
30,1.7971971695657136,0.552773826458037,2.040956533301917,0.5476429287863591,0.0001239527733499604
31,1.7831009966550477,0.5560455192034139,2.0434234398178974,0.5416248746238717,0.00011371171566004979
32,1.7364819058652963,0.5581792318634424,2.029248463832507,0.49047141424272817,0.00010364745084375787
33,1.7697219723149349,0.5486486486486486,2.024665464250111,0.5526579739217653,9.380901098761316e-05
34,1.7300615827525154,0.5708392603129445,2.036964584855641,0.5506519558676028,8.424432798163834e-05
35,1.7804202996141372,0.5732574679943101,2.0418560911444508,0.5817452357071213,7.5e-05
36,1.7427539261103016,0.5688477951635846,2.033211218557482,0.5416248746238717,6.612106447938796e-05
37,1.7394083818704271,0.5652916073968706,2.02775861243666,0.5255767301905717,5.765077870115123e-05
38,1.7339229906944937,0.5675675675675675,2.0373315588760756,0.6469408224674023,4.9630409046171234e-05
39,1.734865798041288,0.5823613086770981,2.0433629240650113,0.522567703109328,4.209902994920228e-05
40,1.738105991792204,0.57624466571835,2.0339809988542212,0.5486459378134403,3.5093333532153296e-05
41,1.7319819903136318,0.5726884779516358,2.032711031204958,0.5446339017051154,2.8647450843757884e-05
42,1.695956662674547,0.5799431009957325,2.026516764190276,0.5436308926780341,2.2792785576536095e-05
43,1.7380980886402375,0.5685633001422475,2.0442984302639364,0.5416248746238717,1.7557861071160976e-05
