epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.555218518543379,0.15761024182076813,2.4312913943915335,0.1995987963891675,0.0002997040092642407
2,2.3949250253132024,0.2578947368421053,2.3573662567521287,0.22567703109327983,0.0002988172051971717
3,2.3089246499589295,0.27837837837837837,2.3235817983851152,0.242728184553661,0.0002973430876093033
4,2.293871980507038,0.283072546230441,2.3199323230425835,0.320962888665998,0.00029528747416929463
5,2.2765496220052834,0.3066856330014225,2.287699855796791,0.31293881644934807,0.00029265847744427303
6,2.203325703574787,0.33541963015647225,2.1435268845936,0.551654964894684,0.0002996346075389736
7,2.0226910296069778,0.4243243243243243,2.114882636094165,0.5406218655967904,0.0002985402103112355
8,1.9216659053460632,0.45049786628733995,2.0715245471196764,0.5005015045135406,0.0002967221401100708
9,1.8630335356738117,0.4809388335704125,2.0315228917055888,0.5235707121364093,0.00029418925439074776
10,1.841158437898454,0.5167852062588905,2.0567034369366337,0.6228686058174524,0.0002909538931178862
11,1.796614332117702,0.5295874822190612,2.0119538431540653,0.5727181544633901,0.0002870318186463901
12,1.758774029784657,0.5455192034139402,1.991094946263427,0.4282848545636911,0.000282442138928839
13,1.720490815663236,0.5699857752489331,2.03614570862551,0.4282848545636911,0.0002772072144234638
14,1.696065422108299,0.6054054054054054,2.025480157154852,0.6710130391173521,0.00027135254915624206
15,1.6490404390508726,0.6236130867709815,2.039801073767835,0.5506519558676028,0.0002649066664678466
16,1.6524463530115858,0.6143669985775249,2.062123898398075,0.6258776328986961,0.0002579009700507976
17,1.628693870324668,0.6321479374110953,2.121605464663644,0.5997993981945837,0.00025036959095382864
18,1.6180805646847525,0.6365576102418208,2.077900896698924,0.7311935807422267,0.00024234922129884865
19,1.6166916162665843,0.6547652916073968,2.037048842985867,0.6519558676028084,0.00023387893552061193
20,1.5435314820128179,0.6677098150782361,2.0647348176273206,0.45536609829488467,0.0002249999999999999
21,1.5863068825150621,0.6642958748221907,2.0665715097065793,0.6579739217652959,0.00021575567201836154
22,1.5528638502612053,0.6879089615931722,2.06891257138764,0.5947843530591775,0.00020619098901238672
