model,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,params_M,train_time_min
ResNet-50,0.790241448692153,0.6178262783336015,0.6946418478771875,0.6508936160184445,0.7988897266043413,23.5,18.3
DenseNet-121,0.7263581488933601,0.5205821043777924,0.7108282850022779,0.5844362996439266,0.7487298012190685,7.0,13.7
EfficientNet-B0,0.7092555331991952,0.5225395325572115,0.7178226979171225,0.583607400051482,0.7366619314312565,4.0,16.0
ViT-B/16,0.7062374245472837,0.541117186886199,0.7163470997825215,0.59084628066248,0.7347664050401125,85.8,16.8
Hybrid CNN-Transformer,0.6710261569416499,0.09586087956309285,0.14285714285714285,0.11473294917003526,0.5389216696930529,37.2,23.7
