model,MEL,NV,BCC,AKIEC,BKL,DF,VASC
ResNet-50,0.48717948717948717,0.8994544037412315,0.625,0.593103448275862,0.6612576064908722,0.47058823529411764,0.819672131147541
DenseNet-121,0.4772727272727273,0.8494758909853249,0.6124031007751938,0.4413793103448276,0.5964912280701754,0.4383561643835616,0.6756756756756757
EfficientNet-B0,0.4774624373956594,0.8264820424058849,0.6388888888888888,0.5136612021857924,0.6030534351145038,0.42105263157894735,0.6046511627906976
ViT-B/16,0.44084278768233387,0.8360864040660737,0.5984251968503937,0.5026737967914439,0.565947242206235,0.4050632911392405,0.7868852459016393
Hybrid CNN-Transformer,0.0,0.8031306441902468,0.0,0.0,0.0,0.0,0.0
