model,MEL,NV,BCC,AKIEC,BKL,DF,VASC
ResNet-50,0.5020242914979757,0.8687035507844756,0.7121951219512195,0.581081081081081,0.7071823204419889,0.4050632911392405,0.5882352941176471
DenseNet-121,0.4913494809688581,0.7946666666666666,0.6583333333333333,0.5492957746478874,0.6626016260162602,0.14492753623188406,0.746268656716418
EfficientNet-B0,0.5633270321361059,0.8863636363636364,0.714975845410628,0.6447368421052632,0.7167381974248928,0.5128205128205128,0.625
ViT-B/16,0.5317460317460317,0.8845528455284553,0.672645739910314,0.6212121212121212,0.6917293233082706,0.5957446808510638,0.6410256410256411
Hybrid CNN-Transformer,0.51440329218107,0.8644207066557108,0.6607142857142857,0.5269461077844312,0.5851063829787234,0.4888888888888889,0.8214285714285714
