model,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,params_M,train_time_min
ResNet-50,0.7671026156941649,0.5618048222124556,0.7521985533303462,0.623497850144804,0.7853156035931911,23.5,19.9
DenseNet-121,0.6825955734406438,0.5359007138192033,0.7241739610248844,0.5782061535116154,0.7246104039340088,7.0,21.8
EfficientNet-B0,0.7927565392354124,0.6032647126746081,0.7979904733510975,0.6662802951801484,0.8086291924044535,4.0,31.2
ViT-B/16,0.7852112676056338,0.6168701502790387,0.744340109850509,0.6626651976545569,0.7994953369582171,85.8,19.6
Hybrid CNN-Transformer,0.7515090543259557,0.598689769236778,0.6981405535449391,0.6374154622330973,0.7689430198091765,25.6,27.8
